11999,2005,toyota,4runner,excellent,178439
10999,2006,toyota,tacoma,excellent,271102
3999,2003,honda,accord,excellent,162496
36990,2018,honda,civic,good,11684
15000,2015,honda,accord,excellent,89000
4500,2007,honda,civic,good,219000
7800,2004,subaru,wrx,excellent,151000
24000,2012,toyota,tundra,excellent,141441
4500,2005,honda,civic,excellent,137000
34900,2015,toyota,tundra,excellent,106205
17900,2012,toyota,tundra,excellent,192315
18000,2012,toyota,tacoma,excellent,75023
15590,2014,honda,accord,good,100590
29990,2019,toyota,tacoma,good,10177
20590,2011,toyota,tacoma,good,47774
38590,2018,toyota,tundra,good,26614
20990,2012,toyota,tundra,good,94943
20990,2014,subaru,wrx,good,69841
13990,2014,honda,civic,good,50485
27477,2016,subaru,wrx,excellent,56926
3750,2000,toyota,4runner,excellent,220080
27999,2014,toyota,tundra,excellent,90659
19500,2017,honda,accord,excellent,35390
26995,2018,subaru,wrx,excellent,33068
7250,2000,toyota,tacoma,excellent,40
5500,2004,honda,accord,excellent,139000
9900,2008,toyota,4runner,excellent,266000
5500,2004,honda,accord,good,88052
8995,2012,honda,civic,excellent,99480
6000,2002,toyota,tacoma,good,320000
32999,2018,toyota,4runner,excellent,49546
2500,2002,honda,accord,good,197093
1750,2002,honda,accord,fair,211273
26590,2019,subaru,wrx,good,17086
8500,2004,toyota,tacoma,good,219000
6500,2008,honda,civic,excellent,82000
5990,2011,honda,civic,good,150472
23900,2012,toyota,tacoma,excellent,123197
6450,2001,toyota,rav4,excellent,141089
10995,2005,toyota,4runner,excellent,221984
31900,2017,toyota,tacoma,excellent,25052
16500,2013,toyota,tacoma,excellent,31292
20995,2013,toyota,tundra,excellent,94000
10900,2002,toyota,tacoma,excellent,194000
479,2018,honda,accord,excellent,46716
11590,2012,honda,civic,good,79311
23990,2017,subaru,outback,good,36305
5900,2010,honda,accord,excellent,124000
5000,2006,honda,accord,excellent,175000
8995,2012,subaru,outback,excellent,117197
564,2017,honda,accord,excellent,29677
28990,2017,toyota,tacoma,good,27378
11000,2004,toyota,tacoma,good,169000
9999,2008,toyota,4runner,excellent,259000
405,2015,honda,accord,excellent,70097
21000,2007,toyota,tundra,excellent,104675
783,2018,toyota,tacoma,excellent,23823
28590,2017,toyota,tacoma,good,8194
39590,2017,toyota,tundra,good,19725
37990,2020,toyota,tundra,good,2224
432,2017,honda,civic,excellent,31333
6900,2010,honda,accord,excellent,152797
526,2017,honda,accord,excellent,43431
27990,2019,toyota,tacoma,good,4686
3200,2003,toyota,rav4,good,205200
540,2020,honda,civic,excellent,5153
23990,2013,toyota,tacoma,good,58814
540,2016,honda,accord,excellent,35293
27590,2014,toyota,tundra,good,82764
944,2018,toyota,4runner,excellent,41145
36590,2017,toyota,tundra,good,34031
6500,2000,toyota,tundra,fair,250000
28590,2019,toyota,tacoma,good,3906
13500,2004,toyota,tacoma,good,205000
648,2018,honda,accord,excellent,27229
28990,2014,toyota,tundra,good,36114
16990,2014,honda,accord,good,22416
28990,2015,toyota,tacoma,good,67918
8500,2001,toyota,tacoma,good,195000
459,2017,honda,accord,excellent,29001
21990,2012,toyota,tacoma,good,51707
479,2018,honda,accord,excellent,46716
510,2018,honda,accord,excellent,6939
2600,2005,honda,civic,fair,157000
24000,2019,toyota,rav4,excellent,25000
31995,2017,toyota,tacoma,good,64612
